t,x1,x2,x3
0,0.000000,0.000000,0.000000
1,-0.132105,-0.297584,-0.556796
2,0.574370,-0.678800,-1.380616
3,0.392085,-0.575555,-0.388592
4,-0.339627,1.528699,0.763090
5,0.191782,0.714548,0.267708
6,1.399891,0.443893,0.552207
7,1.647026,-1.265126,-0.099924
8,0.119778,1.014776,0.017607
9,-1.205532,1.424876,-0.282479
10,-1.226041,1.779373,0.152803
11,-0.571694,0.937359,-1.433371
12,-2.610878,1.385334,-0.072495
13,-1.524231,1.063614,-0.266180
14,-2.008026,1.144996,0.225518
15,-1.736280,0.420305,-0.227551
16,-1.412399,-1.263735,0.206586
17,-1.022500,0.396987,-0.969270
18,-0.099619,-1.736466,0.704519
19,0.992704,-1.108170,-1.351285
20,0.367817,-0.758607,-1.714881
21,1.550372,-1.422164,-0.621775
22,0.109991,-0.097959,1.151955
23,0.406506,-0.249309,0.854104
24,1.106723,-0.561523,0.179143
25,0.647374,0.239080,-1.335518
26,-0.419812,-0.357039,-0.859036
27,-1.131632,1.210461,-0.449395
28,-1.023542,0.956685,1.465871
29,-0.291576,0.004010,1.355061
30,-1.155406,-1.942260,-0.851562
31,-0.786879,-2.278883,1.600998
32,-0.552664,-0.052611,0.405489
33,0.264513,-0.076909,-0.676715
34,0.346916,-0.321580,1.136465
35,0.528831,1.482462,0.518477
36,-0.389413,-0.541418,-0.108164
37,-0.324320,-0.856367,0.164704
38,0.621815,-0.900771,0.927241
39,1.804339,0.135952,1.456957
40,-0.356896,-0.595559,-0.646724
41,1.335476,-0.911198,1.675119
42,2.013613,-2.060748,1.784421
43,1.788118,-0.301025,0.513010
44,1.158515,0.655627,-0.562155
45,0.265335,-0.148563,-1.250090
46,1.590688,0.089058,-0.501667
47,2.755602,-1.248117,-0.898850
48,3.179436,-1.095872,-1.214299
49,2.904822,0.830015,0.204105
50,1.809791,0.550738,0.466620
51,-0.303423,2.585733,-0.161261
52,-0.156166,0.505674,0.653617
53,0.578392,0.833121,1.694187
54,-0.999165,0.221055,-0.247403
55,-0.104461,0.676345,-0.726993
56,0.377633,0.330961,0.579125
57,0.884859,-0.395717,1.008503
58,-0.741688,-1.065476,0.730950
59,-1.032547,2.533299,1.527896
60,-0.952709,1.189304,-0.324264
61,-1.646156,-1.422008,-1.641270
62,0.916290,-1.359605,-1.687142
63,-0.037766,-0.001763,-0.721027
64,0.310087,-0.500890,-1.156600
65,-0.103529,1.110001,-1.065518
66,1.531708,1.557399,-1.507759
67,2.086215,0.626361,-1.374309
68,1.676460,-0.159036,-1.691942
69,-1.365280,-1.084319,-0.478505
70,-0.630611,-1.242126,0.555639
71,0.368381,-2.094206,-0.202627
72,1.188152,0.157293,-0.308579
73,-0.023831,1.669347,-0.735322
74,1.810096,-0.421464,0.163590
75,-0.415383,-1.392415,0.170851
76,-0.869220,-2.464719,1.679582
77,0.500440,-2.196214,-0.255681
78,0.299275,-4.204444,0.234662
79,2.152030,-3.244501,0.561322
80,1.264534,-0.325335,-0.079779
81,-0.000927,-0.508340,0.543645
82,-0.378027,0.600414,-1.166700
83,-1.280160,-0.188762,1.535453
84,-1.917760,1.666286,-0.574318
85,-0.328468,1.032361,0.632648
86,0.416932,0.134178,-0.804799
87,1.503025,2.619513,0.748484
88,-0.003093,0.985285,-0.010532
89,1.687561,-0.728581,0.153157
90,0.556393,-0.162380,0.129922
91,1.852605,-0.120025,1.165695
92,0.493516,1.006312,0.261300
93,-0.488725,-0.418478,-2.836534
94,0.005423,0.595478,-2.178326
95,1.034165,1.150487,-0.905450
96,0.678092,-0.092444,-0.893193
97,-0.246483,0.117022,0.323224
98,-1.464461,-0.772241,1.176939
99,-2.133751,1.959688,0.440698
100,-0.564193,0.275704,-1.269297
101,0.707617,-0.315222,0.749517
102,0.189514,-1.223449,1.457812
103,-0.979608,-0.957846,0.429715
104,0.383238,-0.484799,2.323146
105,-1.088775,0.525390,0.812697
106,-1.257456,-0.347792,-0.730771
107,-0.007710,-0.359670,-0.521259
108,-2.253996,-1.596324,0.817204
109,-0.740628,-1.625564,-0.528851
110,-0.951955,1.943025,1.686799
111,-0.366698,2.012756,-0.053127
112,-0.259050,0.224954,0.927859
113,0.072589,-1.224920,1.008392
114,0.730467,-1.588043,0.350139
115,-0.393136,-0.815712,1.255602
116,1.224414,-0.373128,-0.871998
117,1.338301,-0.930925,0.921573
118,1.512883,-1.752037,0.397102
119,1.921305,0.546360,-0.343884
120,1.748241,0.724865,0.577232
121,1.718199,-0.012135,1.348515
122,0.934693,-0.226729,1.444053
123,-0.959427,-0.642895,2.721530
124,-0.614759,-3.257493,2.441491
125,-1.076894,-1.513085,2.504252
126,-1.961189,-1.827087,0.712262
127,-0.722142,-1.916228,0.462655
128,-0.929620,-1.598376,0.794310
129,-1.494615,-0.066886,0.379413
130,-1.790308,-1.203974,0.491342
131,-0.626737,-2.036268,0.671776
132,0.045303,-0.378282,1.180132
133,1.345109,0.565228,0.488457
134,0.658640,-0.676320,-0.105571
135,1.371160,0.224238,-0.881101
136,2.087845,-0.179514,-1.332283
137,2.194088,0.211535,0.506310
138,-1.268260,-1.155193,0.168633
139,0.594554,0.255298,0.871261
140,0.636897,1.330908,-0.861733
141,0.742220,1.302527,-2.369035
142,0.742337,1.209604,-2.233609
143,0.753926,-3.167473,0.029823
144,0.696377,-1.323107,1.082989
145,-0.010725,-0.686999,0.873533
146,-1.906998,-0.490545,-0.365404
147,-1.062414,-0.875850,-0.313504
148,-1.334939,-0.382560,-0.454513
149,0.412694,0.220837,-0.572230
150,-0.082419,-0.153370,-2.792185
151,0.042266,-0.540009,-2.254019
152,-0.828473,0.959749,-1.317118
153,-0.924859,-0.625492,0.857869
154,-0.473963,0.717409,0.589677
155,-1.722356,0.535517,1.695727
156,-0.560493,-0.536547,0.454157
157,-0.386319,-0.558255,-0.025610
158,-1.378879,-1.199121,-3.912227
159,-3.087672,0.075504,-1.492783
